"timestamp","date","activity","hour"
"2003-05-07 15:00:00","2003-05-07",1468,"15"
"2003-05-07 15:01:00","2003-05-07",1006,"15"
"2003-05-07 15:02:00","2003-05-07",468,"15"
"2003-05-07 15:03:00","2003-05-07",306,"15"
"2003-05-07 15:04:00","2003-05-07",143,"15"
"2003-05-07 15:05:00","2003-05-07",205,"15"
"2003-05-07 15:06:00","2003-05-07",410,"15"
"2003-05-07 15:07:00","2003-05-07",349,"15"
"2003-05-07 15:08:00","2003-05-07",566,"15"
"2003-05-07 15:09:00","2003-05-07",915,"15"
"2003-05-07 15:10:00","2003-05-07",605,"15"
"2003-05-07 15:11:00","2003-05-07",945,"15"
"2003-05-07 15:12:00","2003-05-07",887,"15"
"2003-05-07 15:13:00","2003-05-07",781,"15"
"2003-05-07 15:14:00","2003-05-07",624,"15"
"2003-05-07 15:15:00","2003-05-07",644,"15"
"2003-05-07 15:16:00","2003-05-07",234,"15"
"2003-05-07 15:17:00","2003-05-07",190,"15"
"2003-05-07 15:18:00","2003-05-07",197,"15"
"2003-05-07 15:19:00","2003-05-07",483,"15"
"2003-05-07 15:20:00","2003-05-07",268,"15"
"2003-05-07 15:21:00","2003-05-07",296,"15"
"2003-05-07 15:22:00","2003-05-07",566,"15"
"2003-05-07 15:23:00","2003-05-07",887,"15"
"2003-05-07 15:24:00","2003-05-07",733,"15"
"2003-05-07 15:25:00","2003-05-07",424,"15"
"2003-05-07 15:26:00","2003-05-07",21,"15"
"2003-05-07 15:27:00","2003-05-07",337,"15"
"2003-05-07 15:28:00","2003-05-07",756,"15"
"2003-05-07 15:29:00","2003-05-07",483,"15"
"2003-05-07 15:30:00","2003-05-07",143,"15"
"2003-05-07 15:31:00","2003-05-07",143,"15"
"2003-05-07 15:32:00","2003-05-07",160,"15"
"2003-05-07 15:33:00","2003-05-07",197,"15"
"2003-05-07 15:34:00","2003-05-07",138,"15"
"2003-05-07 15:35:00","2003-05-07",44,"15"
"2003-05-07 15:36:00","2003-05-07",360,"15"
"2003-05-07 15:37:00","2003-05-07",1379,"15"
"2003-05-07 15:38:00","2003-05-07",138,"15"
"2003-05-07 15:39:00","2003-05-07",22,"15"
"2003-05-07 15:40:00","2003-05-07",160,"15"
"2003-05-07 15:41:00","2003-05-07",82,"15"
"2003-05-07 15:42:00","2003-05-07",143,"15"
"2003-05-07 15:43:00","2003-05-07",53,"15"
"2003-05-07 15:44:00","2003-05-07",125,"15"
"2003-05-07 15:45:00","2003-05-07",277,"15"
"2003-05-07 15:46:00","2003-05-07",116,"15"
"2003-05-07 15:47:00","2003-05-07",103,"15"
"2003-05-07 15:48:00","2003-05-07",806,"15"
"2003-05-07 15:49:00","2003-05-07",397,"15"
"2003-05-07 15:50:00","2003-05-07",71,"15"
"2003-05-07 15:51:00","2003-05-07",26,"15"
"2003-05-07 15:52:00","2003-05-07",31,"15"
"2003-05-07 15:53:00","2003-05-07",227,"15"
"2003-05-07 15:54:00","2003-05-07",13,"15"
"2003-05-07 15:55:00","2003-05-07",4,"15"
"2003-05-07 15:56:00","2003-05-07",4,"15"
"2003-05-07 15:57:00","2003-05-07",4,"15"
"2003-05-07 15:58:00","2003-05-07",26,"15"
"2003-05-07 15:59:00","2003-05-07",4,"15"
"2003-05-07 16:00:00","2003-05-07",4,"16"
"2003-05-07 16:01:00","2003-05-07",79,"16"
"2003-05-07 16:02:00","2003-05-07",4,"16"
"2003-05-07 16:03:00","2003-05-07",4,"16"
"2003-05-07 16:04:00","2003-05-07",4,"16"
"2003-05-07 16:05:00","2003-05-07",687,"16"
"2003-05-07 16:06:00","2003-05-07",9,"16"
"2003-05-07 16:07:00","2003-05-07",4,"16"
"2003-05-07 16:08:00","2003-05-07",3,"16"
"2003-05-07 16:09:00","2003-05-07",3,"16"
"2003-05-07 16:10:00","2003-05-07",4,"16"
"2003-05-07 16:11:00","2003-05-07",468,"16"
"2003-05-07 16:12:00","2003-05-07",41,"16"
"2003-05-07 16:13:00","2003-05-07",4,"16"
"2003-05-07 16:14:00","2003-05-07",21,"16"
"2003-05-07 16:15:00","2003-05-07",4,"16"
"2003-05-07 16:16:00","2003-05-07",4,"16"
"2003-05-07 16:17:00","2003-05-07",4,"16"
"2003-05-07 16:18:00","2003-05-07",4,"16"
"2003-05-07 16:19:00","2003-05-07",4,"16"
"2003-05-07 16:20:00","2003-05-07",4,"16"
"2003-05-07 16:21:00","2003-05-07",4,"16"
"2003-05-07 16:22:00","2003-05-07",35,"16"
"2003-05-07 16:23:00","2003-05-07",35,"16"
"2003-05-07 16:24:00","2003-05-07",4,"16"
"2003-05-07 16:25:00","2003-05-07",4,"16"
"2003-05-07 16:26:00","2003-05-07",4,"16"
"2003-05-07 16:27:00","2003-05-07",205,"16"
"2003-05-07 16:28:00","2003-05-07",1039,"16"
"2003-05-07 16:29:00","2003-05-07",915,"16"
"2003-05-07 16:30:00","2003-05-07",665,"16"
"2003-05-07 16:31:00","2003-05-07",424,"16"
"2003-05-07 16:32:00","2003-05-07",197,"16"
"2003-05-07 16:33:00","2003-05-07",410,"16"
"2003-05-07 16:34:00","2003-05-07",644,"16"
"2003-05-07 16:35:00","2003-05-07",88,"16"
"2003-05-07 16:36:00","2003-05-07",68,"16"
"2003-05-07 16:37:00","2003-05-07",12,"16"
"2003-05-07 16:38:00","2003-05-07",184,"16"
"2003-05-07 16:39:00","2003-05-07",337,"16"
"2003-05-07 16:40:00","2003-05-07",79,"16"
"2003-05-07 16:41:00","2003-05-07",234,"16"
"2003-05-07 16:42:00","2003-05-07",103,"16"
"2003-05-07 16:43:00","2003-05-07",250,"16"
"2003-05-07 16:44:00","2003-05-07",37,"16"
"2003-05-07 16:45:00","2003-05-07",1073,"16"
"2003-05-07 16:46:00","2003-05-07",172,"16"
"2003-05-07 16:47:00","2003-05-07",10,"16"
"2003-05-07 16:48:00","2003-05-07",6,"16"
"2003-05-07 16:49:00","2003-05-07",6,"16"
"2003-05-07 16:50:00","2003-05-07",6,"16"
"2003-05-07 16:51:00","2003-05-07",71,"16"
"2003-05-07 16:52:00","2003-05-07",12,"16"
"2003-05-07 16:53:00","2003-05-07",4,"16"
"2003-05-07 16:54:00","2003-05-07",4,"16"
"2003-05-07 16:55:00","2003-05-07",4,"16"
"2003-05-07 16:56:00","2003-05-07",4,"16"
"2003-05-07 16:57:00","2003-05-07",4,"16"
"2003-05-07 16:58:00","2003-05-07",94,"16"
"2003-05-07 16:59:00","2003-05-07",4,"16"
"2003-05-07 17:00:00","2003-05-07",4,"17"
"2003-05-07 17:01:00","2003-05-07",4,"17"
"2003-05-07 17:02:00","2003-05-07",4,"17"
